SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1808 W Belmont Ave #3,CHICAGO,IL,60657,470000,3,3.0,North Center,2100,,,11,224,150,Active,,,http://www.redfin.com/IL/Chicago/1808-W-Belmont-Ave-60657/unit-3/home/12772624,MRED,10122188,N,Y,41.9398677,-87.6743394
MLS Listing,,Single Family Residential,1207 E 44th Pl,CHICAGO,IL,60653,475000,3,3.0,Kenwood,1628,2956,1998,18,292,,Active,,,http://www.redfin.com/IL/Chicago/1207-E-44th-Pl-60653/home/13961464,MRED,10113665,N,Y,41.8141601,-87.5964351
MLS Listing,,Condo/Co-op,333 S Desplaines St #302,CHICAGO,IL,60661,455000,2,2.0,Near West Side,1344,,1924,25,339,476,Active,,,http://www.redfin.com/IL/Chicago/333-S-Desplaines-St-60661/unit-302/home/12646596,MRED,10109217,N,Y,41.8771135,-87.6435483
MLS Listing,,Condo/Co-op,437 W Division St #411,CHICAGO,IL,60610,450000,2,2.0,Near North Side,,,2008,54,,500,Active,,,http://www.redfin.com/IL/Chicago/437-W-Division-St-60610/unit-411/home/13086188,MRED,10080264,N,Y,41.9035939,-87.6396912
MLS Listing,,Condo/Co-op,210 S Desplaines St #201,CHICAGO,IL,60661,474000,2,2.0,Near West Side,1335,,2004,67,355,695,Active,,,http://www.redfin.com/IL/Chicago/210-S-Desplaines-St-60661/unit-201/home/12646902,MRED,10066507,N,Y,41.8789224,-87.6445288
MLS Listing,,Condo/Co-op,1213 N Noble St #3,CHICAGO,IL,60642,475000,2,2.0,West Town,1221,,2005,1,389,230,Active,,,http://www.redfin.com/IL/Chicago/1213-N-Noble-St-60642/unit-3/home/26812492,MRED,10130730,N,Y,41.9038728,-87.6623446
MLS Listing,,Condo/Co-op,860 W Aldine Ave #4,CHICAGO,IL,60657,459900,2,2.0,Lake View,1500,,2005,1,307,260,Active,,,http://www.redfin.com/IL/Chicago/860-W-Aldine-Ave-60657/unit-4/home/12589809,MRED,10130141,N,Y,41.9420351,-87.6516595
MLS Listing,,Condo/Co-op,3750 N Lake Shore Dr Unit 13F,Chicago,IL,60613,465000,3,2.5,Lake View,2400,,,1,194,1839,Active,,,http://www.redfin.com/IL/Chicago/3750-N-Lake-Shore-Dr-60613/unit-13F/home/52329631,MRED,10130073,N,Y,41.9519327,-87.6453375
MLS Listing,,Townhouse,5844 N Hermitage Ave Unit E,CHICAGO,IL,60660,450000,3,1.5,Edgewater,2000,,1998,2,225,344,Active,,,http://www.redfin.com/IL/Chicago/5844-N-Hermitage-Ave-60660/unit-E/home/12774617,MRED,10129641,N,Y,41.9881339,-87.6735622
MLS Listing,,Multi-Family (2-4 Unit),2351 W Ohio St,CHICAGO,IL,60612,475000,4,2.0,West Town,,2178,1875,3,,,Active,,,http://www.redfin.com/IL/Chicago/2351-W-Ohio-St-60612/home/14105311,MRED,10129217,N,Y,41.891942,-87.6862914
MLS Listing,,Condo/Co-op,195 N Harbor Dr #1805,CHICAGO,IL,60601,470000,2,2.0,Loop,1227,,1991,3,383,722,Active,,,http://www.redfin.com/IL/Chicago/195-N-Harbor-Dr-60601/unit-1805/home/14093649,MRED,10129153,N,Y,41.8855212,-87.6146956
MLS Listing,,Single Family Residential,6014 N Keating Ave,CHICAGO,IL,60646,450000,5,3.0,Forest Glen,1656,4090,1951,3,272,,Active,,,http://www.redfin.com/IL/Chicago/6014-N-Keating-Ave-60646/home/13516599,MRED,10129061,N,Y,41.9904337,-87.7474032
MLS Listing,,Multi-Family (2-4 Unit),1725 N ALBANY Ave,CHICAGO,IL,60647,469900,4,2.0,Humboldt Park,,2950,1890,3,,,Active,,,http://www.redfin.com/IL/Chicago/1725-N-Albany-Ave-60647/home/13415863,MRED,10128763,N,Y,41.912766,-87.7043872
MLS Listing,,Condo/Co-op,2024 W Iowa St Unit 2W,CHICAGO,IL,60622,450000,2,2.0,West Town,,,1999,3,,163,Active,November-11-2018 11:00 AM,November-11-2018 12:30 PM,http://www.redfin.com/IL/Chicago/2024-W-Iowa-St-60622/unit-2W/home/12572267,MRED,10128495,N,Y,41.897985,-87.678101
MLS Listing,,Condo/Co-op,330 W Diversey Pkwy #2102,CHICAGO,IL,60657,465000,2,2.0,Lake View,1485,,1957,4,313,1157,Active,,,http://www.redfin.com/IL/Chicago/330-W-Diversey-Pkwy-60657/unit-2102/home/144959350,MRED,10128019,N,Y,41.9331195,-87.6384566
MLS Listing,,Condo/Co-op,400 E Randolph St #1507,CHICAGO,IL,60601,450000,1,1.0,Loop,860,,1963,4,523,736,Active,,,http://www.redfin.com/IL/Chicago/400-E-Randolph-St-60601/unit-1507/home/14094596,MRED,10127919,N,Y,41.8848489,-87.6168112
MLS Listing,,Multi-Family (2-4 Unit),4827 N Kedvale Ave,CHICAGO,IL,60630,450000,6,3.0,Albany Park,,3750,,4,,,Active,,,http://www.redfin.com/IL/Chicago/4827-N-Kedvale-Ave-60630/unit-2ND/home/13495032,MRED,10127824,N,Y,41.9690386,-87.7314116
MLS Listing,,Condo/Co-op,1457 W Fry St #1,CHICAGO,IL,60642,459999,5,3.0,West Town,2400,3276,1996,4,192,246,Active,,,http://www.redfin.com/IL/Chicago/1457-W-Fry-St-60642/unit-1/home/12696729,MRED,10127362,N,Y,41.8967523,-87.6646053
MLS Listing,,Condo/Co-op,2940 N DAMEN Ave Unit 3N,CHICAGO,IL,60618,469000,2,2.0,North Center,,,2007,4,,157,Active,,,http://www.redfin.com/IL/Chicago/2940-N-Damen-Ave-60618/unit-3N/home/26794056,MRED,10127356,N,Y,41.9353544,-87.6784925
MLS Listing,,Single Family Residential,3418 N Tripp Ave,CHICAGO,IL,60641,465000,3,3.0,Irving Park,2700,3811,1909,4,172,,Active,,,http://www.redfin.com/IL/Chicago/3418-N-Tripp-Ave-60641/home/13457258,MRED,10127323,N,Y,41.9432799,-87.7337198
MLS Listing,,Single Family Residential,6921 W Farragut Ave,CHICAGO,IL,60656,459000,5,3.0,Norwood Park,1680,2500,1924,4,273,,Active,,,http://www.redfin.com/IL/Chicago/6921-W-Farragut-Ave-60656/home/13507213,MRED,10127318,N,Y,41.9761773,-87.8006356
MLS Listing,,Multi-Family (2-4 Unit),1717 W 103rd St,CHICAGO,IL,60643,459900,7,3.0,Beverly,,19800,,4,,,Active,,,http://www.redfin.com/IL/Chicago/1717-W-103rd-St-60643/unit-1/home/13071847,MRED,10127152,N,Y,41.7063351,-87.6654723
MLS Listing,,Single Family Residential,5145 N Lovejoy Ave,CHICAGO,IL,60630,455000,5,3.5,Jefferson Park,,7350,1918,4,,,Active,,,http://www.redfin.com/IL/Chicago/5145-N-Lovejoy-Ave-60630/home/13497713,MRED,10127120,N,Y,41.9744936,-87.7649461
MLS Listing,,Condo/Co-op,680 N Lake Shore Dr #622,CHICAGO,IL,60611,450000,2,2.5,Near North Side,2100,,1926,5,214,1360,Active,,,http://www.redfin.com/IL/Chicago/680-N-Lake-Shore-Dr-60611/unit-622/home/14097082,MRED,10126672,N,Y,41.8945335,-87.6166324
MLS Listing,,Condo/Co-op,728 W Jackson Blvd #522,CHICAGO,IL,60661,474000,2,2.0,Near West Side,1522,,1929,5,311,761,Active,,,http://www.redfin.com/IL/Chicago/728-W-Jackson-Blvd-60661/unit-522/home/12573705,MRED,10126461,N,Y,41.878409,-87.6449713
MLS Listing,,Condo/Co-op,175 E Delaware Pl #5609,CHICAGO,IL,60611,469900,1,2.0,Near North Side,1347,,1969,6,349,1038,Active,,,http://www.redfin.com/IL/Chicago/175-E-Delaware-Pl-60611/unit-5609/home/14118699,MRED,10125962,N,Y,41.8989444,-87.6227945
MLS Listing,,Multi-Family (2-4 Unit),3731 W GIDDINGS St,CHICAGO,IL,60625,459000,9,4.0,Albany Park,,4125,1922,6,,,Active,,,http://www.redfin.com/IL/Chicago/3731-W-Giddings-St-60625/home/13484964,MRED,10125918,N,Y,41.9671798,-87.7220525
MLS Listing,,Multi-Family (2-4 Unit),22 S Seeley Ave,CHICAGO,IL,60612,459000,6,3.0,Near West Side,,2178,1873,6,,,Active,,,http://www.redfin.com/IL/Chicago/22-S-Seeley-Ave-60612/unit-1FL/home/14088651,MRED,10125915,N,Y,41.8806422,-87.678117
MLS Listing,,Vacant Land,6025 N Clark St,CHICAGO,IL,60660,450000,,,Edgewater,,3484,,6,,,Active,,,http://www.redfin.com/IL/Chicago/6025-N-Clark-St-60660/home/147830979,MRED,10125770,N,Y,41.9914387,-87.6695752
