SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,212 E Cullerton St #1011,CHICAGO,IL,60616,399900,2,2.0,Near South Side,1600,,2003,3,250,654,Active,,,http://www.redfin.com/IL/Chicago/212-E-Cullerton-St-60616/unit-1011/home/12678413,MRED,10128340,N,Y,41.8557828,-87.621852
MLS Listing,,Condo/Co-op,3835 N Ashland Ave Unit 3N,CHICAGO,IL,60613,399900,2,2.0,Lake View,,,1998,6,,266,Active,,,http://www.redfin.com/IL/Chicago/3835-N-Ashland-Ave-60613/unit-3N/home/12773203,MRED,10125284,N,Y,41.9517275,-87.6685543
MLS Listing,,Condo/Co-op,910 W Madison St #402,CHICAGO,IL,60607,385000,1,1.5,Near West Side,,,2002,11,,377,Active,,,http://www.redfin.com/IL/Chicago/910-W-Madison-St-60607/unit-402/home/146729000,MRED,10121325,N,Y,41.8819723,-87.6502314
MLS Listing,,Condo/Co-op,1464 S Michigan Ave #2205,CHICAGO,IL,60605,379900,2,2.0,Near South Side,,,2009,12,,438,Active,,,http://www.redfin.com/IL/Chicago/1464-S-Michigan-Ave-60605/unit-2205/home/39570672,MRED,10120390,N,Y,41.8622504,-87.6244266
MLS Listing,,Condo/Co-op,1144 W Roscoe St Unit 3W,CHICAGO,IL,60657,399900,2,2.0,Lake View,,,2005,18,,318,Active,,,http://www.redfin.com/IL/Chicago/1144-W-Roscoe-St-60657/unit-3W/home/12597259,MRED,10116003,N,Y,41.9436205,-87.6583752
MLS Listing,,Condo/Co-op,212 E Cullerton St #1106,CHICAGO,IL,60616,379000,2,2.0,Near South Side,1400,,2003,18,271,561,Active,,,http://www.redfin.com/IL/Chicago/212-E-Cullerton-St-60616/unit-1106/home/12677692,MRED,10115617,N,Y,41.8557828,-87.621852
MLS Listing,,Condo/Co-op,4641 N Campbell Ave #3,CHICAGO,IL,60625,385000,3,2.0,Lincoln Square,1600,8200,1914,41,241,371,Active,,,http://www.redfin.com/IL/Chicago/4641-N-Campbell-Ave-60625/unit-3/home/148023148,MRED,10093396,N,Y,41.965971,-87.691006
MLS Listing,,Condo/Co-op,2706 W Chicago Ave #3,CHICAGO,IL,60622,399900,3,2.0,West Town,1700,,2007,46,235,129,Active,,,http://www.redfin.com/IL/Chicago/2706-W-Chicago-Ave-60622/unit-3/home/26810505,MRED,10089192,N,Y,41.8959672,-87.6945796
MLS Listing,,Condo/Co-op,3045 N Greenview Ave #202,CHICAGO,IL,60657,389000,2,2.0,Lake View,,,1999,46,,286,Active,,,http://www.redfin.com/IL/Chicago/3045-N-Greenview-Ave-60657/unit-202/home/12773130,MRED,10088847,N,Y,41.9373853,-87.6659096
MLS Listing,,Condo/Co-op,3021 W Armitage Ave #207,CHICAGO,IL,60647,389900,2,2.0,Logan Square,1300,,2006,47,300,315,Active,,,http://www.redfin.com/IL/Chicago/3021-W-Armitage-Ave-60647/unit-207/home/26806750,MRED,10088420,N,Y,41.9171566,-87.7034405
MLS Listing,,Multi-Family (2-4 Unit),3718 N Bernard St,CHICAGO,IL,60618,399000,4,2.0,Irving Park,,3484,1908,54,,,Active,,,http://www.redfin.com/IL/Chicago/3718-N-Bernard-St-60618/home/13455502,MRED,10080245,N,Y,41.9489865,-87.7143561
MLS Listing,,Condo/Co-op,901 W Madison St #1005,CHICAGO,IL,60607,375000,1,1.5,Near West Side,877,34973,2007,61,428,467,Active,,,http://www.redfin.com/IL/Chicago/901-W-Madison-St-60607/unit-1005/home/26818012,MRED,10073019,N,Y,41.8814073,-87.650281
MLS Listing,,Condo/Co-op,902 S May St Unit C,CHICAGO,IL,60607,388000,3,2.5,Near West Side,1232,,1976,73,315,130,Active,,,http://www.redfin.com/IL/Chicago/902-S-May-St-60607/unit-C/home/14088720,MRED,10062335,N,Y,41.870571,-87.655614
MLS Listing,,Condo/Co-op,500 W Superior St #610,CHICAGO,IL,60654,400000,2,2.0,Near North Side,930,,,104,430,718,Active,,,http://www.redfin.com/IL/Chicago/500-W-Superior-St-60654/unit-610/home/18947702,MRED,10029163,N,Y,41.8957754,-87.6422178
MLS Listing,,Condo/Co-op,1524 S Sangamon St #806,CHICAGO,IL,60608,400000,2,2.5,Near West Side,1710,,2002,354,234,838,Active,,,http://www.redfin.com/IL/Chicago/1524-S-Sangamon-St-60608/unit-806/home/12671735,MRED,09802077,N,Y,41.860832,-87.6498137
Redfin Data,,Condo/Co-op,3231 N Wilton Ave #3,Chicago,IL,60657,400000,2,2.0,Chicago,1400,,1999,4,286,192,Pre On-Market,,,http://www.redfin.com/IL/Chicago/3231-N-Wilton-Ave-60657/unit-3/home/12774407,Coming Soon,22463,N,Y,41.9408902,-87.6525832
Redfin Data,,Condo/Co-op,"2300 W Wabansia Ave, Unit 313",Chicago,IL,60647,399950,2,1.5,Chicago,,,,12,,,Pre On-Market,,,http://www.redfin.com/IL/Chicago/2300-W-Wabansia-Ave-60647/unit-313/home/13355642,Coming Soon,22047,N,Y,41.9128684,-87.6844693
MLS Listing,,Single Family Residential,10355 S Christiana Ave,CHICAGO,IL,60655,394900,5,2.5,Mount Greenwood,2177,5118,1938,1,181,,Active,,,http://www.redfin.com/IL/Chicago/10355-S-Christiana-Ave-60655/home/13153469,MRED,10130843,N,Y,41.704575,-87.7046951
MLS Listing,,Single Family Residential,6307 N MELVINA Ave,CHICAGO,IL,60646,400000,5,3.0,Norwood Park,2500,3898,1930,1,160,,Active,,,http://www.redfin.com/IL/Chicago/6307-N-Melvina-Ave-60646/home/13511995,MRED,10130801,N,Y,41.9952941,-87.7825398
MLS Listing,,Single Family Residential,4319 N Lowell Ave,CHICAGO,IL,60641,395000,4,2.0,Irving Park,1656,4373,1911,1,239,,Active,,,http://www.redfin.com/IL/Chicago/4319-N-Lowell-Ave-60641/home/13481504,MRED,10130590,N,Y,41.9596485,-87.7366722
MLS Listing,,Multi-Family (5+ Unit),1133 E 82ND St,CHICAGO,IL,60617,399500,4,5.0,Avalon Park,6300,,1926,1,63,,Active,,,http://www.redfin.com/IL/Chicago/1133-E-82nd-St-60619/home/12643263,MRED,10130324,N,Y,41.7456205,-87.596341
MLS Listing,,Condo/Co-op,345 W Fullerton Pkwy #1206,CHICAGO,IL,60614,379900,2,2.0,Lincoln Park,1100,,1972,1,345,826,Active,,,http://www.redfin.com/IL/Chicago/345-W-Fullerton-Pkwy-60614/unit-1206/home/13349320,MRED,10130298,N,Y,41.925292,-87.638556
MLS Listing,,Condo/Co-op,1841 S Calumet Ave #1703,CHICAGO,IL,60616,399000,2,2.0,Near South Side,1205,,2006,1,331,858,Active,November-10-2018 12:00 PM,November-10-2018 03:00 PM,http://www.redfin.com/IL/Chicago/1841-S-Calumet-Ave-60616/unit-1703/home/18920439,MRED,10129976,N,Y,41.8571143,-87.6188825
MLS Listing,,Multi-Family (2-4 Unit),4557 S Union Ave,CHICAGO,IL,60609,389000,7,5.0,New City,,3125,1880,1,,,Active,,,http://www.redfin.com/IL/Chicago/4557-S-Union-Ave-60609/home/13958286,MRED,10129945,N,Y,41.8108443,-87.6429269
MLS Listing,,Multi-Family (2-4 Unit),5712 W Leland Ave,CHICAGO,IL,60630,399000,5,3.0,Portage Park,,4125,1924,1,,,Active,,,http://www.redfin.com/IL/Chicago/5712-W-Leland-Ave-60630/unit-1/home/13475652,MRED,10129707,N,Y,41.9661785,-87.7705091
MLS Listing,,Single Family Residential,6148 W Fletcher St,CHICAGO,IL,60634,377000,3,2.0,Belmont Cragin,2150,3780,1924,2,175,,Active,,,http://www.redfin.com/IL/Chicago/6148-W-Fletcher-St-60634/home/13438498,MRED,10129571,N,Y,41.937751,-87.780538
MLS Listing,,Multi-Family (2-4 Unit),1931 S Peoria St,CHICAGO,IL,60608,384000,3,2.0,Lower West Side,,2613,1875,3,,,Active,,,http://www.redfin.com/IL/Chicago/1931-S-Peoria-St-60608/home/14086422,MRED,10129248,N,Y,41.8557661,-87.6479969
