SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1727 S Indiana Ave #225,CHICAGO,IL,60616,250000,1,1.0,Near South Side,,,,3,,385,Active,,,http://www.redfin.com/IL/Chicago/1727-S-Indiana-Ave-60616/unit-225/home/39572534,MRED,10128644,N,Y,41.858339,-87.6218863
MLS Listing,,Condo/Co-op,1620 S Michigan Ave #720,CHICAGO,IL,60616,275000,2,1.0,Near South Side,749,,2006,11,367,252,Active,,,http://www.redfin.com/IL/Chicago/1620-S-Michigan-Ave-60616/unit-720/home/18927319,MRED,10121569,N,Y,41.859565,-87.6242683
MLS Listing,,Single Family Residential,2727 W Flournoy St,CHICAGO,IL,60612,250000,4,4.0,East Garfield Park,2724,3123,1895,12,92,,Active,,,http://www.redfin.com/IL/Chicago/2727-W-Flournoy-St-60612/home/13258862,MRED,10120750,N,Y,41.8726882,-87.6947241
MLS Listing,,Condo/Co-op,2336 W Roscoe St Unit 2F,CHICAGO,IL,60618,250000,2,1.0,North Center,,,,12,,130,Active,,,http://www.redfin.com/IL/Chicago/2336-W-Roscoe-St-60618/unit-2F/home/18914923,MRED,10120451,N,Y,41.9433721,-87.6872156
MLS Listing,,Condo/Co-op,1600 N Halsted St Unit 2I,CHICAGO,IL,60614,255000,1,1.0,Lincoln Park,,,2004,18,,239,Active,,,http://www.redfin.com/IL/Chicago/1600-N-Halsted-St-60614/unit-2I/home/26810222,MRED,10115628,N,Y,41.911144,-87.648605
MLS Listing,,Condo/Co-op,1111 W 14th Pl #110,CHICAGO,IL,60608,275000,2,2.0,Near West Side,1002,,1920,25,274,441,Active,,,http://www.redfin.com/IL/Chicago/1111-W-14th-Pl-60608/unit-110/home/18935047,MRED,10109027,N,Y,41.8622207,-87.6553441
MLS Listing,,Condo/Co-op,440 N Wabash Ave #3004,CHICAGO,IL,60611,250000,1,1.0,Near North Side,,,1991,32,,524,Active,,,http://www.redfin.com/IL/Chicago/440-N-Wabash-Ave-60611/unit-3004/home/12616356,MRED,10102684,N,Y,41.8904191,-87.627462
MLS Listing,,Single Family Residential,10735 S Church St,CHICAGO,IL,60643,265999,4,2.5,Morgan Park,,8851,1910,37,,,Active,,,http://www.redfin.com/IL/Chicago/10735-S-Church-St-60643/home/13073961,MRED,10098299,N,Y,41.6983574,-87.6604827
MLS Listing,,Condo/Co-op,1345 S Wabash Ave #1107,CHICAGO,IL,60605,259500,1,1.0,Near South Side,762,,2015,59,341,280,Active,,,http://www.redfin.com/IL/Chicago/1345-S-Wabash-Ave-60605/unit-1107/home/77350025,MRED,10067789,N,Y,41.8644184,-87.625483
MLS Listing,,Condo/Co-op,2222 W Diversey Ave #305,CHICAGO,IL,60647,250000,2,1.5,Logan Square,1000,,1996,60,250,305,Active,,,http://www.redfin.com/IL/Chicago/2222-W-Diversey-Ave-60647/unit-305/home/12806138,MRED,10074549,N,Y,41.9323753,-87.6838868
