SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,3729 N Panama Ave,CHICAGO,IL,60634,279900,4,2.0,Dunning,1102,3720,1946,6,254,,Active,,,http://www.redfin.com/IL/Chicago/3729-N-Panama-Ave-60634/home/13544794,MRED,10123184,N,Y,41.9476407,-87.8289366
MLS Listing,,Townhouse,3529 W 38th St #1,CHICAGO,IL,60632,289000,3,2.5,Brighton Park,2057,1808,2008,7,140,,Active,November-4-2019 11:00 AM,November-4-2019 01:00 PM,http://www.redfin.com/IL/Chicago/3529-W-38th-Pl-60632/unit-1/home/18938978,MRED,10124725,N,Y,41.8231634,-87.7129641
MLS Listing,,Condo/Co-op,4823 N Fairfield Ave #3,CHICAGO,IL,60625,282500,2,2.0,Lincoln Square,,,,11,,240,Active,,,http://www.redfin.com/IL/Chicago/4823-N-Fairfield-Ave-60625/unit-3/home/12775709,MRED,10121802,N,Y,41.9693285,-87.6971822
MLS Listing,,Condo/Co-op,1620 S Michigan Ave #720,CHICAGO,IL,60616,275000,2,1.0,Near South Side,749,,2006,11,367,252,Active,,,http://www.redfin.com/IL/Chicago/1620-S-Michigan-Ave-60616/unit-720/home/18927319,MRED,10121569,N,Y,41.859565,-87.6242683
MLS Listing,,Condo/Co-op,155 N Harbor Dr #4301,CHICAGO,IL,60601,299900,0,1.0,Loop,708,,1974,17,424,476,Active,,,http://www.redfin.com/IL/Chicago/155-N-Harbor-Dr-60601/unit-4301/home/14093059,MRED,10116583,N,Y,41.8850094,-87.6148097
MLS Listing,,Condo/Co-op,2709 W BRYN MAWR Ave #1,CHICAGO,IL,60659,289000,2,2.0,Lincoln Square,,,2005,18,,214,Active,,,http://www.redfin.com/IL/Chicago/2709-W-Bryn-Mawr-Ave-60659/unit-1/home/18933828,MRED,10115677,N,Y,41.982869,-87.6971768
MLS Listing,,Condo/Co-op,2317 W Wolfram St #515,CHICAGO,IL,60618,297000,2,2.0,Logan Square,1385,53000,1999,18,214,483,Active,,,http://www.redfin.com/IL/Chicago/2317-W-Wolfram-St-60618/unit-515/home/12716741,MRED,10115191,N,Y,41.9328312,-87.6864968
MLS Listing,,Condo/Co-op,1111 W 14th Pl #110,CHICAGO,IL,60608,275000,2,2.0,Near West Side,1002,,1920,25,274,441,Active,,,http://www.redfin.com/IL/Chicago/1111-W-14th-Pl-60608/unit-110/home/18935047,MRED,10109027,N,Y,41.8622207,-87.6553441
MLS Listing,,Single Family Residential,2700 N Newcastle Ave,CHICAGO,IL,60707,299500,3,2.0,Montclare,1500,4543,1924,26,200,,Active,,,http://www.redfin.com/IL/Chicago/2700-N-Newcastle-Ave-60707/home/13433970,MRED,10107687,N,Y,41.9291781,-87.7969095
MLS Listing,,Condo/Co-op,10 E Ontario St #1602,CHICAGO,IL,60611,289000,1,1.0,Near North Side,995,,1983,28,290,674,Active,,,http://www.redfin.com/IL/Chicago/10-E-Ontario-St-60611/unit-1602/home/12620528,MRED,10106195,N,Y,41.8936405,-87.6275331
MLS Listing,,Condo/Co-op,200 N Dearborn St #4604,CHICAGO,IL,60601,299900,1,1.0,Loop,870,,1989,46,345,606,Active,,,http://www.redfin.com/IL/Chicago/200-N-Dearborn-St-60601/unit-004604/home/28654119,MRED,10089536,N,Y,41.88606,-87.6298721
MLS Listing,,Condo/Co-op,1225 W Morse Ave #206,CHICAGO,IL,60626,288900,2,2.0,Rogers Park,1369,,2005,62,211,288,Active,,,http://www.redfin.com/IL/Chicago/1225-W-Morse-Ave-60626/unit-206/home/52638883,MRED,10071892,N,Y,42.0076041,-87.6626759
MLS Listing,,Single Family Residential,10323 S Albany Ave,CHICAGO,IL,60655,289900,3,2.0,Mount Greenwood,1356,3898,1949,84,214,,Active,,,http://www.redfin.com/IL/Chicago/10323-S-Albany-Ave-60655/home/13158595,MRED,10050428,N,Y,41.7054277,-87.6986897
MLS Listing,,Condo/Co-op,550 W Surf St #112,CHICAGO,IL,60657,292000,2,1.0,Lake View,,,1901,94,,475,Active,,,http://www.redfin.com/IL/Chicago/550-W-Surf-St-60657/unit-112/home/39991832,MRED,10032739,N,Y,41.9347293,-87.643892
MLS Listing,,Condo/Co-op,630 N Franklin St #807,CHICAGO,IL,60654,280000,1,1.0,Near North Side,,,2005,102,,302,Active,,,http://www.redfin.com/IL/Chicago/630-N-Franklin-St-60654/unit-807/home/12600130,MRED,10024385,N,Y,41.8934032,-87.6362238
