SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1207 E 44th Pl,CHICAGO,IL,60653,475000,3,3.0,Kenwood,1628,2956,1998,18,292,,Active,,,http://www.redfin.com/IL/Chicago/1207-E-44th-Pl-60653/home/13961464,MRED,10113665,N,Y,41.8141601,-87.5964351
MLS Listing,,Condo/Co-op,2750 N Racine Ave #3,CHICAGO,IL,60614,499999,2,2.0,Lincoln Park,1337,,2000,31,374,116,Active,,,http://www.redfin.com/IL/Chicago/2750-N-Racine-Ave-60614/unit-3/home/12715698,MRED,10104374,N,Y,41.9322277,-87.6589093
MLS Listing,,Condo/Co-op,1925 W DIVISION St #3,CHICAGO,IL,60622,499999,2,2.0,West Town,,,1891,57,,182,Active,,,http://www.redfin.com/IL/Chicago/1925-W-Division-St-60622/unit-3/home/12714920,MRED,10077389,N,Y,41.902914,-87.6758448
Redfin Data,,Townhouse,1719 N Mohawk St Unit G,Chicago,IL,60614,485000,2,2.5,Chicago,1216,924,1971,27,399,95,Pre On-Market,,,http://www.redfin.com/IL/Chicago/1719-N-Mohawk-St-60614/unit-G/home/13347189,Coming Soon,21385,N,Y,41.9135157,-87.6419837
MLS Listing,,Multi-Family (2-4 Unit),1264 W Victoria St,CHICAGO,IL,60660,499900,4,2.0,Edgewater,,2178,1896,1,,,Active,,,http://www.redfin.com/IL/Chicago/1264-W-Victoria-St-60660/unit-1/home/13409001,MRED,10130768,N,Y,41.9875518,-87.6622156
MLS Listing,,Condo/Co-op,1213 N Noble St #3,CHICAGO,IL,60642,475000,2,2.0,West Town,1221,,2005,1,389,230,Active,,,http://www.redfin.com/IL/Chicago/1213-N-Noble-St-60642/unit-3/home/26812492,MRED,10130730,N,Y,41.9038728,-87.6623446
MLS Listing,,Single Family Residential,7216 N Oconto Ave,CHICAGO,IL,60631,489000,4,3.0,Edison Park,1800,5625,1945,1,272,,Active,,,http://www.redfin.com/IL/Chicago/7216-N-Oconto-Ave-60631/home/13651760,MRED,10130614,N,Y,42.012224,-87.8081254
MLS Listing,,Condo/Co-op,1713 N North Park Ave #4,CHICAGO,IL,60614,489900,2,2.0,Lincoln Park,1320,,,1,371,428,Active,,,http://www.redfin.com/IL/Chicago/1713-N-North-Park-Ave-60614/unit-4/home/13343233,MRED,10130522,N,Y,41.9132234,-87.6364298
MLS Listing,,Condo/Co-op,2107 W BELMONT Ave Unit 3A,CHICAGO,IL,60618,499000,3,2.0,North Center,1700,,2003,1,294,292,Active,,,http://www.redfin.com/IL/Chicago/2107-W-Belmont-Ave-60618/unit-3A/home/12698480,MRED,10130380,N,Y,41.9392879,-87.6811197
MLS Listing,,Condo/Co-op,3016 W BELMONT Ave Unit 2W,CHICAGO,IL,60618,489500,3,2.0,Avondale,1900,,2018,1,258,200,Active,,,http://www.redfin.com/IL/Chicago/3016-W-Belmont-Ave-60618/unit-2W/home/145870029,MRED,10130057,N,Y,41.939618,-87.703427
MLS Listing,,Single Family Residential,6123 S Menard Ave,CHICAGO,IL,60638,489000,4,3.5,Clearing,3000,3781,2007,2,163,,Active,,,http://www.redfin.com/IL/Chicago/6123-S-Menard-Ave-60638/home/12795184,MRED,10129372,N,Y,41.7809218,-87.7664741
MLS Listing,,Multi-Family (2-4 Unit),2351 W Ohio St,CHICAGO,IL,60612,475000,4,2.0,West Town,,2178,1875,3,,,Active,,,http://www.redfin.com/IL/Chicago/2351-W-Ohio-St-60612/home/14105311,MRED,10129217,N,Y,41.891942,-87.6862914
MLS Listing,,Condo/Co-op,1030 N STATE St Unit 33B,CHICAGO,IL,60610,479000,1,2.0,Near North Side,1000,,1971,3,479,653,Active,,,http://www.redfin.com/IL/Chicago/1030-N-State-St-60610/unit-33B/home/14109999,MRED,10129046,N,Y,41.9012852,-87.6289091
MLS Listing,,Condo/Co-op,1400 S Michigan Ave #2004,CHICAGO,IL,60605,495000,2,2.0,Near South Side,1260,,2008,4,393,535,Active,,,http://www.redfin.com/IL/Chicago/1400-S-Michigan-Ave-60605/unit-2004/home/40202613,MRED,10128105,N,Y,41.8638738,-87.6244611
MLS Listing,,Condo/Co-op,1648 W Ohio St Unit 1W,CHICAGO,IL,60622,495000,3,2.5,West Town,2000,,1999,4,248,208,Active,,,http://www.redfin.com/IL/Chicago/1648-W-Ohio-St-60622/unit-1W/home/12753250,MRED,10128098,N,Y,41.8925643,-87.6690279
MLS Listing,,Condo/Co-op,260 E Chestnut St #2504,CHICAGO,IL,60611,489000,2,2.0,Near North Side,1409,,,4,347,967,Active,,,http://www.redfin.com/IL/Chicago/260-E-Chestnut-St-60611/unit-2504/home/145952606,MRED,10128068,N,Y,41.8986644,-87.6196021
MLS Listing,,Condo/Co-op,1842 N Kedzie Ave #2,CHICAGO,IL,60647,489999,3,2.5,Logan Square,1600,4425,2017,4,306,175,Active,,,http://www.redfin.com/IL/Chicago/1842-N-Kedzie-Ave-60647/unit-2/home/145230066,MRED,10128045,N,Y,41.9150351,-87.7074281
