SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),3719 N Marshfield Ave,CHICAGO,IL,60613,699000,5,3.0,Lake View,,3049,1898,4,,,Active,,,http://www.redfin.com/IL/Chicago/3719-N-Marshfield-Ave-60613/home/13388256,MRED,10127757,N,Y,41.9494399,-87.6698352
MLS Listing,,Condo/Co-op,424 W Eugenie St #3,CHICAGO,IL,60614,670000,2,2.0,Lincoln Park,,,1897,17,,223,Active,,,http://www.redfin.com/IL/Chicago/424-W-Eugenie-St-60614/unit-3/home/18942509,MRED,10113585,N,Y,41.913055,-87.639676
MLS Listing,,Multi-Family (2-4 Unit),2215 W Rice St,CHICAGO,IL,60622,699900,5,3.0,West Town,,3484,1905,18,,,Active,,,http://www.redfin.com/IL/Chicago/2215-W-Rice-St-60622/home/14106664,MRED,10107133,N,Y,41.896518,-87.6825558
MLS Listing,,Single Family Residential,4106 N St Louis Ave,CHICAGO,IL,60618,650000,4,3.5,Irving Park,3600,3149,2008,20,181,,Active,,,http://www.redfin.com/IL/Chicago/4106-N-St-Louis-Ave-60618/home/13482818,MRED,10113595,N,Y,41.955964,-87.715781
MLS Listing,,Single Family Residential,9934 S Hoyne Ave,CHICAGO,IL,60643,699000,5,3.5,Beverly,3401,7919,1924,31,206,,Active,,,http://www.redfin.com/IL/Chicago/9934-S-Hoyne-Ave-60643/home/13097979,MRED,10104497,N,Y,41.7128056,-87.6748526
MLS Listing,,Condo/Co-op,2004 W Erie St Unit 1W,CHICAGO,IL,60612,699000,4,3.0,West Town,,,2013,32,,250,Active,,,http://www.redfin.com/IL/Chicago/2004-W-Erie-St-60612/unit-1W/home/113044196,MRED,10102822,N,Y,41.8932873,-87.6772969
MLS Listing,,Condo/Co-op,849 N Franklin St #507,CHICAGO,IL,60610,650000,3,2.0,Near North Side,1790,,2006,48,363,989,Active,,,http://www.redfin.com/IL/Chicago/849-N-Franklin-St-60610/unit-507/home/26812167,MRED,10087113,N,Y,41.8979058,-87.6353738
MLS Listing,,Condo/Co-op,110 W Superior St #1402,CHICAGO,IL,60654,675000,2,2.0,Near North Side,1325,,2009,68,509,733,Active,,,http://www.redfin.com/IL/Chicago/110-W-Superior-St-60654/unit-1402/home/52207001,MRED,10066662,N,Y,41.8959292,-87.6319881
MLS Listing,,Single Family Residential,2350 N Oak Park Ave,CHICAGO,IL,60707,650000,5,3.5,Montclare,4294,11280,1892,147,151,,Active,,,http://www.redfin.com/IL/Chicago/2350-N-Oak-Park-Ave-60707/home/13432519,MRED,09981146,N,Y,41.9226443,-87.7955649
MLS Listing,,Condo/Co-op,310 S Michigan Ave #1703,CHICAGO,IL,60604,699900,3,2.5,Loop,1600,,1924,1,437,1273,Active,November-10-2018 12:00 PM,November-10-2018 02:00 PM,http://www.redfin.com/IL/Chicago/310-S-Michigan-Ave-60604/unit-1703/home/39567833,MRED,10130713,N,Y,41.8778408,-87.6248467
MLS Listing,,Condo/Co-op,707 W Wrightwood Ave Unit 3W,CHICAGO,IL,60614,699000,3,2.0,Lincoln Park,2000,,2002,1,350,274,Active,,,http://www.redfin.com/IL/Chicago/707-W-Wrightwood-Ave-60614/unit-3W/home/146218580,MRED,10130628,N,Y,41.928864,-87.646744
MLS Listing,,Condo/Co-op,240 E Illinois St #2506,Chicago,IL,60611,675000,2,2.0,Near North Side,1361,,2008,1,496,944,Active,,,http://www.redfin.com/IL/Chicago/240-E-Illinois-St-60611/unit-2506/home/39566632,MRED,10130527,N,Y,41.891402,-87.6213118
MLS Listing,,Townhouse,576 W Elm St Unit 22-C,CHICAGO,IL,60610,682500,3,2.5,Near North Side,2188,,2019,1,312,268,Active,November-10-2018 01:00 PM,November-10-2018 03:00 PM,http://www.redfin.com/IL/Chicago/576-W-Elm-St-60610/unit-22-C/home/148026146,MRED,10130519,N,Y,41.902813,-87.643028
MLS Listing,,Multi-Family (5+ Unit),2727 W Congress Pkwy,CHICAGO,IL,60612,689900,12,10.0,East Garfield Park,,3750,2007,1,,,Active,,,http://www.redfin.com/IL/Chicago/2727-W-Congress-Pkwy-60612/home/18953816,MRED,10130185,N,Y,41.8746665,-87.6947626
MLS Listing,,Multi-Family (2-4 Unit),3300 N SACRAMENTO Ave,CHICAGO,IL,60618,699000,8,4.0,Avondale,,3125,1913,1,,,Active,November-10-2018 01:00 PM,November-10-2018 02:30 PM,http://www.redfin.com/IL/Chicago/3300-N-Sacramento-Ave-60618/home/145663682,MRED,10130167,N,Y,41.9411832,-87.7030879
MLS Listing,,Condo/Co-op,600 N Fairbanks Ct #1907,CHICAGO,IL,60611,675000,2,2.0,Near North Side,,,2007,1,,688,Active,,,http://www.redfin.com/IL/Chicago/600-N-Fairbanks-Ct-60611/unit-1907/home/39566074,MRED,10130034,N,Y,41.8930276,-87.6206457
MLS Listing,,Condo/Co-op,2831 N Halsted St Unit 3E,CHICAGO,IL,60657,699500,3,2.0,Lake View,,,2018,1,,305,Active,,,http://www.redfin.com/IL/Chicago/2831-N-Halsted-St-60657/unit-3E/home/142990996,MRED,10129966,N,Y,41.9336649,-87.6486947
MLS Listing,,Multi-Family (2-4 Unit),2634 N Lawndale Ave,CHICAGO,IL,60647,699000,9,3.0,Logan Square,,4750,1910,1,,,Active,,,http://www.redfin.com/IL/Chicago/2634-Lawndale-Ave-60647/home/13446783,MRED,10129943,N,Y,41.9293049,-87.7198207
MLS Listing,,Condo/Co-op,600 N Fairbanks Ct #1605,CHICAGO,IL,60611,679000,2,2.0,Near North Side,1253,,2007,2,542,648,Active,,,http://www.redfin.com/IL/Chicago/600-N-Fairbanks-Ct-60611/unit-1605/home/39551799,MRED,10129486,N,Y,41.8930276,-87.6206457
MLS Listing,,Condo/Co-op,1522 W Walton St #1,CHICAGO,IL,60642,699900,4,3.0,West Town,2400,,2018,3,292,200,Active,,,http://www.redfin.com/IL/Chicago/1522-W-Walton-St-60642/unit-1/home/148008758,MRED,10128973,N,Y,41.8990098,-87.6658383
MLS Listing,,Condo/Co-op,2918 N Lakewood Ave #2,CHICAGO,IL,60657,675000,3,2.5,Lake View,2000,,2018,3,338,225,Active,,,http://www.redfin.com/IL/Chicago/2918-N-Lakewood-Ave-60657/unit-2/home/145451971,MRED,10128851,N,Y,41.9349515,-87.661446
MLS Listing,,Condo/Co-op,1629 S Prairie Ave #2805,CHICAGO,IL,60616,685000,3,2.0,Near South Side,1565,,2009,3,438,860,Active,,,http://www.redfin.com/IL/Chicago/1629-S-Prairie-Ave-60616/unit-2805/home/39572952,MRED,10128734,N,Y,41.8594665,-87.6203861
MLS Listing,,Condo/Co-op,3356 N Marshfield Ave #2,CHICAGO,IL,60657,669000,3,2.0,Lake View,1579,,2016,3,424,136,Active,,,http://www.redfin.com/IL/Chicago/3356-N-Marshfield-Ave-60657/unit-2/home/108377579,MRED,10128720,N,Y,41.9431159,-87.670182
MLS Listing,,Condo/Co-op,1629 S Prairie Ave #1201,CHICAGO,IL,60616,699000,3,2.0,Near South Side,1600,,2009,4,437,817,Active,,,http://www.redfin.com/IL/Chicago/1629-S-Prairie-Ave-60616/unit-1201/home/39572815,MRED,10128113,N,Y,41.8594665,-87.6203861
MLS Listing,,Condo/Co-op,2649 N Mildred Ave Unit 2N,CHICAGO,IL,60614,674900,2,2.0,Lincoln Park,,6324,2018,4,,153,Active,,,http://www.redfin.com/IL/Chicago/2649-N-Mildred-Ave-60614/unit-2N/home/145246835,MRED,10127872,N,Y,41.9304702,-87.6510705
MLS Listing,,Condo/Co-op,2649 N Mildred Ave Unit 2S,CHICAGO,IL,60614,674900,2,2.0,Lincoln Park,,6324,2018,4,,153,Active,,,http://www.redfin.com/IL/Chicago/2649-N-Mildred-Ave-60614/unit-2S/home/146132947,MRED,10127875,N,Y,41.9304702,-87.6510705
MLS Listing,,Condo/Co-op,3632 N Lakewood Ave #3,CHICAGO,IL,60613,650000,3,2.0,Lake View,1870,4428,1998,4,348,238,Active,,,http://www.redfin.com/IL/Chicago/3632-N-Lakewood-Ave-60613/unit-3/home/12774478,MRED,10127859,N,Y,41.9480604,-87.6619538
MLS Listing,,Condo/Co-op,1736 W Augusta Blvd #2,CHICAGO,IL,60622,650000,3,2.5,West Town,2200,,2007,4,295,159,Active,,,http://www.redfin.com/IL/Chicago/1736-W-Augusta-Blvd-60622/unit-2/home/147970042,MRED,10127667,N,Y,41.8998278,-87.6712996
MLS Listing,,Vacant Land,7442 W Belmont Ave,CHICAGO,IL,60634,699000,,,Dunning,,10375,,4,,,Active,,,http://www.redfin.com/IL/Chicago/7442-W-Belmont-Ave-60634/home/69054603,MRED,10127411,N,Y,41.9382392,-87.8130411
MLS Listing,,Single Family Residential,1932 N Ridgeway Ave,CHICAGO,IL,60647,674900,5,3.5,Logan Square,,3293,2018,4,,,Active,,,http://www.redfin.com/IL/Chicago/1932-N-Ridgeway-Ave-60647/home/21873148,MRED,10126997,N,Y,41.916428,-87.720771
MLS Listing,,Condo/Co-op,6007 N Sheridan Rd Unit 38DF,CHICAGO,IL,60660,699900,4,3.0,Edgewater,2900,,1969,5,241,1319,Active,,,http://www.redfin.com/IL/Chicago/6007-N-Sheridan-Rd-60660/unit-38DF/home/145009806,MRED,10126785,N,Y,41.9913121,-87.6547605
MLS Listing,,Condo/Co-op,2337 W LYNDALE St #1,CHICAGO,IL,60647,679000,3,2.5,Logan Square,,,2018,5,,175,Active,,,http://www.redfin.com/IL/Chicago/2337-W-Lyndale-St-60647/unit-1/home/147937887,MRED,10126770,N,Y,41.9224446,-87.6865994
MLS Listing,,Multi-Family (2-4 Unit),3936 N Sacramento Ave,CHICAGO,IL,60618,679000,6,2.0,Irving Park,,4356,1906,5,,,Active,,,http://www.redfin.com/IL/Chicago/3936-N-Sacramento-Ave-60618/unit-2ND/home/13454020,MRED,10126735,N,Y,41.9532984,-87.7033863
MLS Listing,,Single Family Residential,909 N Francisco Ave,CHICAGO,IL,60622,679000,4,3.5,West Town,2800,3123,1905,5,243,,Active,,,http://www.redfin.com/IL/Chicago/909-N-Francisco-Ave-60622/home/13288717,MRED,10126628,N,Y,41.8983888,-87.6990266
MLS Listing,,Townhouse,335 E Cullerton St,Chicago,IL,60616,679000,3,3.0,Near South Side,2500,2125,1999,5,272,190,Active,,,http://www.redfin.com/IL/Chicago/335-E-Cullerton-St-60616/home/12692599,MRED,10126591,N,Y,41.855386,-87.6193909
MLS Listing,,Condo/Co-op,3353 N Seminary Ave #1,CHICAGO,IL,60657,700000,4,3.0,Lake View,,,2003,5,,146,Active,,,http://www.redfin.com/IL/Chicago/3353-N-Seminary-Ave-60657/unit-1/home/12683799,MRED,10126552,N,Y,41.9432742,-87.6562742
MLS Listing,,Condo/Co-op,123 S Green St Unit 1006B,CHICAGO,IL,60607,659900,2,2.0,Near West Side,1297,,2008,5,509,659,Active,,,http://www.redfin.com/IL/Chicago/123-S-Green-St-60607/unit-1006B/home/39569233,MRED,10126317,N,Y,41.8801718,-87.6482748
MLS Listing,,Single Family Residential,3722 N St Louis Ave,CHICAGO,IL,60618,699900,4,3.5,Irving Park,2500,3781,1906,5,280,,Active,,,http://www.redfin.com/IL/Chicago/3722-N-St-Louis-Ave-60618/home/13455182,MRED,10126274,N,Y,41.949059,-87.715585
MLS Listing,,Condo/Co-op,2636 N Lakewood Ave Unit 1N,CHICAGO,IL,60614,650000,2,2.0,Lincoln Park,1700,8928,2010,5,382,225,Active,,,http://www.redfin.com/IL/Chicago/2636-N-Lakewood-Ave-60614/unit-1N/home/40368758,MRED,10126252,N,Y,41.929956,-87.661392
MLS Listing,,Multi-Family (2-4 Unit),3338 N HOYNE Ave,Chicago,IL,60618,679000,9,4.0,North Center,,3049,,6,,,Active,,,http://www.redfin.com/IL/Chicago/3338-N-Hoyne-Ave-60618/unit-1/home/13386232,MRED,10125965,N,Y,41.9425241,-87.6812087
MLS Listing,,Townhouse,950 W Berwyn Ave #12,CHICAGO,IL,60640,650000,3,3.0,Edgewater,,5000,,6,,408,Active,,,http://www.redfin.com/IL/Chicago/950-W-Berwyn-Ave-60640/unit-12/home/13401184,MRED,10125939,N,Y,41.9787248,-87.6544304
MLS Listing,,Condo/Co-op,6 N Michigan Ave #702,CHICAGO,IL,60602,675000,2,2.0,Loop,1295,,,6,521,1282,Active,,,http://www.redfin.com/IL/Chicago/6-N-Michigan-Ave-60602/unit-702/home/39567166,MRED,10125869,N,Y,41.8823364,-87.6247696
MLS Listing,,Townhouse,1916 N CLEVELAND Ave Unit B,CHICAGO,IL,60614,700000,3,2.0,Lincoln Park,,,1975,6,,,Active,,,http://www.redfin.com/IL/Chicago/1916-N-Cleveland-Ave-60614/unit-B/home/13346015,MRED,10125570,N,Y,41.9170331,-87.6415407
MLS Listing,,Condo/Co-op,1370 W WALTON St Unit 3E,CHICAGO,IL,60642,699900,3,2.5,West Town,,6250,2018,6,,200,Active,,,http://www.redfin.com/IL/Chicago/1370-W-Walton-St-60642/unit-3E/home/145124451,MRED,10125460,N,Y,41.8991116,-87.662241
MLS Listing,,Condo/Co-op,1534 W Cortez St #1,CHICAGO,IL,60642,650000,3,2.5,West Town,,3120,2016,6,,168,Active,,,http://www.redfin.com/IL/Chicago/1534-W-Cortez-St-60642/unit-1/home/14109431,MRED,10125406,N,Y,41.9008034,-87.6663776
MLS Listing,,Condo/Co-op,2241 N Dayton St #1,CHICAGO,IL,60614,650000,3,2.5,Lincoln Park,2000,2952,,6,325,362,Active,,,http://www.redfin.com/IL/Chicago/2241-N-Dayton-St-60614/unit-1/home/13352171,MRED,10125251,N,Y,41.9229981,-87.6495244
MLS Listing,,Condo/Co-op,900 N Hoyne Ave Unit 1N,CHICAGO,IL,60622,695000,3,2.5,West Town,,,2015,7,,212,Active,,,http://www.redfin.com/IL/Chicago/900-N-Hoyne-Ave-60622/unit-1N/home/79057339,MRED,10124200,N,Y,41.8978421,-87.6798045
MLS Listing,,Condo/Co-op,1925 N DAMEN Ave #1,CHICAGO,IL,60647,700000,4,3.0,Logan Square,2700,,1998,7,259,170,Active,,,http://www.redfin.com/IL/Chicago/1925-N-Damen-Ave-60647/unit-1/home/12792332,MRED,10124198,N,Y,41.9167228,-87.6772348
MLS Listing,,Condo/Co-op,630 N STATE St #2301,CHICAGO,IL,60610,685000,3,2.0,Near North Side,1900,,2001,7,361,1343,Active,,,http://www.redfin.com/IL/Chicago/630-N-State-St-60654/unit-2301/home/144937406,MRED,10124136,N,Y,41.8937413,-87.6284339
MLS Listing,,Single Family Residential,6880 N Wildwood Ave,CHICAGO,IL,60646,699900,4,2.5,Forest Glen,2910,6838,1945,9,241,,Active,,,http://www.redfin.com/IL/Chicago/6880-N-Wildwood-Ave-60646/home/13592778,MRED,10123540,N,Y,42.0065481,-87.7743539
MLS Listing,,Townhouse,2002 W Sunnyside Ave,CHICAGO,IL,60625,699900,4,3.5,Lincoln Square,,1550,1999,9,,,Active,,,http://www.redfin.com/IL/Chicago/2002-W-Sunnyside-Ave-60625/home/147906438,MRED,10123503,N,Y,41.9634586,-87.679403
MLS Listing,,Single Family Residential,1219 N Rockwell St,CHICAGO,IL,60622,659000,4,2.5,West Town,,3024,2011,10,,,Active,,,http://www.redfin.com/IL/Chicago/1219-N-Rockwell-St-60622/home/13289360,MRED,10123041,N,Y,41.9036487,-87.6917112
MLS Listing,,Condo/Co-op,1117 W NEWPORT Ave #3,CHICAGO,IL,60657,679000,2,2.0,Lake View,1370,,2018,11,496,157,Active,,,http://www.redfin.com/IL/Chicago/1117-W-Newport-Ave-60657/unit-3/home/147843043,MRED,10122174,N,Y,41.9440555,-87.6574018
MLS Listing,,Condo/Co-op,600 N Lake Shore Dr #3702,CHICAGO,IL,60611,690900,2,2.0,Near North Side,1363,,2008,11,507,677,Active,,,http://www.redfin.com/IL/Chicago/600-N-Lake-Shore-Dr-60611/unit-3702/home/21864802,MRED,10121960,N,Y,41.8930694,-87.6151037
MLS Listing,,Condo/Co-op,640 W FULLERTON Pkwy #1,CHICAGO,IL,60614,660000,3,2.0,Lincoln Park,,,,11,,325,Active,,,http://www.redfin.com/IL/Chicago/640-W-Fullerton-Pkwy-60614/unit-1/home/13367040,MRED,10121871,N,Y,41.9258275,-87.6455019
MLS Listing,,Multi-Family (2-4 Unit),5507 N Artesian Ave,CHICAGO,IL,60625,700000,9,4.0,Lincoln Square,,3920,1925,11,,,Active,,,http://www.redfin.com/IL/Chicago/5507-N-Artesian-Ave-60625/home/13492499,MRED,10121557,N,Y,41.9816412,-87.6902962
