SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),1019 W Newport Ave,CHICAGO,IL,60657,950000,7,3.5,Lake View,,3049,1886,28,,,Active,,,http://www.redfin.com/IL/Chicago/1019-W-Newport-Ave-60657/unit-2/home/13381364,MRED,10106001,N,Y,41.9442003,-87.655065
MLS Listing,,Single Family Residential,1814 W Wabansia Ave,CHICAGO,IL,60622,996000,4,3.0,West Town,2080,1934,1952,33,479,,Active,,,http://www.redfin.com/IL/Chicago/1814-W-Wabansia-Ave-60622/home/13354950,MRED,10101704,N,Y,41.91253,-87.6733118
MLS Listing,,Condo/Co-op,1849 N Hermitage Ave Ph 304,CHICAGO,IL,60622,975000,3,2.0,Logan Square,1900,,1908,39,513,403,Active,,,http://www.redfin.com/IL/Chicago/1849-N-Hermitage-Ave-60622/unit-304/home/147760274,MRED,10096052,N,Y,41.9156817,-87.6710969
MLS Listing,,Condo/Co-op,1300 N La Salle St Unit E,CHICAGO,IL,60610,999000,3,2.5,Near North Side,3400,,1987,68,294,360,Active,,,http://www.redfin.com/IL/Chicago/1300-N-LaSalle-St-60610/unit-E/home/21812290,MRED,10066484,N,Y,41.9059299,-87.6333539
Redfin Data,,Multi-Family (2-4 Unit),"4201 N Paulina St., Unit F",Chicago,IL,60613,950000,8,7.0,Chicago,,,1961,5,,,Pre On-Market,,,http://www.redfin.com/IL/Chicago/4201-N-Paulina-St-60613/unit-F/home/13389422,Coming Soon,22398,N,Y,41.9581886,-87.6702494
MLS Listing,,Condo/Co-op,360 E RANDOLPH St Unit 4006-07,CHICAGO,IL,60601,960000,3,3.0,Loop,2580,,1982,3,372,2262,Active,,,http://www.redfin.com/IL/Chicago/360-E-Randolph-St-60601/unit-4006-07/home/144150304,MRED,10128867,N,Y,41.8849098,-87.6179823
MLS Listing,,Multi-Family (2-4 Unit),2529 N Wayne Ave,CHICAGO,IL,60614,999999,9,5.0,Lincoln Park,,3125,1891,3,,,Active,,,http://www.redfin.com/IL/Chicago/2529-N-Wayne-Ave-60614/home/13362236,MRED,10128355,N,Y,41.9279591,-87.6619272
MLS Listing,,Vacant Land,518 N Western Ave,CHICAGO,IL,60612,999900,,,West Town,,9583,,4,,,Active,,,http://www.redfin.com/IL/Chicago/518-N-Western-Ave-60612/home/147963802,MRED,10127354,N,Y,41.8912522,-87.6870472
MLS Listing,,Single Family Residential,5615 N Kostner Ave N,Chicago,IL,60646,975000,5,3.5,North Park,,2461,,4,,,Active,,,http://www.redfin.com/IL/Chicago/5615-N-Kostner-Ave-60646/home/13512625,MRED,10127307,N,Y,41.9831688,-87.7380186
MLS Listing,,Condo/Co-op,864 N Ashland Ave #3,Chicago,IL,60622,999888,4,2.5,West Town,,,2018,5,,307,Active,,,http://www.redfin.com/IL/Chicago/864-N-Ashland-Ave-60622/unit-3/home/147938217,MRED,10126856,N,Y,41.8979217,-87.6676105
MLS Listing,,Condo/Co-op,2773 N Hampden Ct #203,CHICAGO,IL,60614,1000000,4,3.0,Lincoln Park,2122,,2019,5,471,340,Active,November-10-2018 12:00 PM,November-10-2018 06:00 PM,http://www.redfin.com/IL/Chicago/2773-N-Hampden-Ct-60614/unit-203/home/144232669,MRED,10126337,N,Y,41.9324652,-87.6424728
MLS Listing,,Multi-Family (2-4 Unit),1236 N WOOD St,CHICAGO,IL,60622,975000,7,4.0,West Town,,3125,1996,5,,,Active,,,http://www.redfin.com/IL/Chicago/1236-N-Wood-St-60622/home/14107645,MRED,10126115,N,Y,41.9044182,-87.672657
MLS Listing,,Townhouse,115 S Racine Ave,CHICAGO,IL,60607,975000,3,2.5,Near West Side,,912,2006,6,,405,Active,,,http://www.redfin.com/IL/Chicago/115-S-Racine-Ave-60607/home/12602940,MRED,10125520,N,Y,41.879736,-87.656824
MLS Listing,,Condo/Co-op,800 N Michigan Ave #2203,CHICAGO,IL,60611,999900,2,2.0,Near North Side,2000,,2000,7,500,1102,Active,,,http://www.redfin.com/IL/Chicago/800-N-Michigan-Ave-60611/unit-2203/home/12753530,MRED,10124812,N,Y,41.8971196,-87.6255022
MLS Listing,,Multi-Family (2-4 Unit),2509 N Halsted St,CHICAGO,IL,60614,950000,4,3.0,Lincoln Park,,,,7,,,Active,,,http://www.redfin.com/IL/Chicago/2509-N-Halsted-St-60614/home/13367960,MRED,10124134,N,Y,41.927611,-87.648482
MLS Listing,,Single Family Residential,4926 N FAIRFIELD Ave,CHICAGO,IL,60625,999999,6,4.5,Lincoln Square,5500,6451,2011,10,182,,Active,,,http://www.redfin.com/IL/Chicago/4926-N-Fairfield-Ave-60625/home/13490288,MRED,10122761,N,Y,41.9715761,-87.6978812
MLS Listing,,Single Family Residential,2414 W Cuyler Ave,CHICAGO,IL,60618,995000,3,3.0,North Center,3600,6337,1899,11,276,162,Active,,,http://www.redfin.com/IL/Chicago/2414-W-Cuyler-Ave-60618/unit-A/home/12701513,MRED,10121776,N,Y,41.9552408,-87.6891987
MLS Listing,,Single Family Residential,2321 W Dickens Ave,CHICAGO,IL,60647,975000,5,3.5,Logan Square,,2400,2005,11,,,Active,,,http://www.redfin.com/IL/Chicago/2321-W-Dickens-Ave-60647/home/13357140,MRED,10121518,N,Y,41.9189432,-87.6858678
