SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1727 S Indiana Ave #225,CHICAGO,IL,60616,250000,1,1.0,Near South Side,,,,3,,385,Active,,,http://www.redfin.com/IL/Chicago/1727-S-Indiana-Ave-60616/unit-225/home/39572534,MRED,10128644,N,Y,41.858339,-87.6218863
MLS Listing,,Condo/Co-op,1250 W Van Buren St #309,CHICAGO,IL,60607,239900,1,1.0,Near West Side,758,,,4,316,329,Active,,,http://www.redfin.com/IL/Chicago/1250-W-Van-Buren-St-60607/unit-309/home/12735118,MRED,10127553,N,Y,41.8769535,-87.6590035
MLS Listing,,Single Family Residential,2727 W Flournoy St,CHICAGO,IL,60612,250000,4,4.0,East Garfield Park,2724,3123,1895,12,92,,Active,,,http://www.redfin.com/IL/Chicago/2727-W-Flournoy-St-60612/home/13258862,MRED,10120750,N,Y,41.8726882,-87.6947241
MLS Listing,,Condo/Co-op,2336 W Roscoe St Unit 2F,CHICAGO,IL,60618,250000,2,1.0,North Center,,,,12,,130,Active,,,http://www.redfin.com/IL/Chicago/2336-W-Roscoe-St-60618/unit-2F/home/18914923,MRED,10120451,N,Y,41.9433721,-87.6872156
MLS Listing,,Condo/Co-op,1729 W Erie St Unit 3N,CHICAGO,IL,60622,230000,1,1.0,West Town,,,1890,17,,130,Active,,,http://www.redfin.com/IL/Chicago/1729-W-Erie-St-60622/unit-3N/home/18917758,MRED,10117146,N,Y,41.8931484,-87.6707968
MLS Listing,,Single Family Residential,1620 W 106th St,CHICAGO,IL,60643,235000,3,2.5,Beverly,1210,7448,1969,18,194,,Active,,,http://www.redfin.com/IL/Chicago/1620-W-106th-St-60643/home/13072945,MRED,10116026,N,Y,41.701436,-87.662679
MLS Listing,,Condo/Co-op,828 W Grace St #1007,CHICAGO,IL,60613,240000,1,1.0,Lake View,,,2006,31,,310,Active,,,http://www.redfin.com/IL/Chicago/828-W-Grace-St-60613/unit-1007/home/21807377,MRED,10104136,N,Y,41.9515578,-87.6509773
MLS Listing,,Condo/Co-op,850 N Dewitt Pl Unit 22H,CHICAGO,IL,60611,225000,1,1.0,Near North Side,980,,1956,32,230,599,Active,,,http://www.redfin.com/IL/Chicago/850-N-Dewitt-Pl-60611/unit-22H/home/14116819,MRED,10103040,N,Y,41.8982232,-87.620759
MLS Listing,,Condo/Co-op,440 N Wabash Ave #3004,CHICAGO,IL,60611,250000,1,1.0,Near North Side,,,1991,32,,524,Active,,,http://www.redfin.com/IL/Chicago/440-N-Wabash-Ave-60611/unit-3004/home/12616356,MRED,10102684,N,Y,41.8904191,-87.627462
MLS Listing,,Condo/Co-op,1324 W Huron St Unit 1F,CHICAGO,IL,60642,239900,2,1.0,West Town,,,1922,32,,135,Active,,,http://www.redfin.com/IL/Chicago/1324-W-Huron-St-60642/unit-1F/home/12682456,MRED,10102511,N,Y,41.8945635,-87.6606369
MLS Listing,,Condo/Co-op,2220 N Sedgwick St #402,CHICAGO,IL,60614,245000,1,1.0,Lincoln Park,,,1900,35,,160,Active,,,http://www.redfin.com/IL/Chicago/2220-N-Sedgwick-St-60614/unit-402/home/18928601,MRED,10099297,N,Y,41.9226791,-87.639298
MLS Listing,,Condo/Co-op,803 W Oakdale Ave Unit AG,CHICAGO,IL,60657,244000,1,1.0,Lake View,,,,46,,342,Active,,,http://www.redfin.com/IL/Chicago/803-W-Oakdale-Ave-60657/unit-AG/home/147904142,MRED,10089342,N,Y,41.9352781,-87.6495938
MLS Listing,,Condo/Co-op,1360 N Sandburg Ter Unit 1105C,CHICAGO,IL,60610,234900,1,1.0,Near North Side,,950,1969,47,,562,Active,,,http://www.redfin.com/IL/Chicago/1360-N-Sandburg-Ter-60610/unit-1105C/home/14113558,MRED,10088264,N,Y,41.9074568,-87.6325583
MLS Listing,,Condo/Co-op,200 N Dearborn St #905,CHICAGO,IL,60601,242000,1,1.0,Loop,,,1989,56,,486,Active,,,http://www.redfin.com/IL/Chicago/200-N-Dearborn-St-60601/unit-905/home/39564765,MRED,10077582,N,Y,41.8860651,-87.6298941
MLS Listing,,Condo/Co-op,2222 W Diversey Ave #305,CHICAGO,IL,60647,250000,2,1.5,Logan Square,1000,,1996,60,250,305,Active,,,http://www.redfin.com/IL/Chicago/2222-W-Diversey-Ave-60647/unit-305/home/12806138,MRED,10074549,N,Y,41.9323753,-87.6838868
MLS Listing,,Condo/Co-op,33 E CEDAR St Unit 6G,CHICAGO,IL,60611,240000,1,1.0,Near North Side,,,1958,213,,712,Active,,,http://www.redfin.com/IL/Chicago/33-E-Cedar-St-60611/unit-6G/home/14122512,MRED,09907221,N,Y,41.9022307,-87.6271603
MLS Listing,,Single Family Residential,3414 W COLUMBUS Ave,CHICAGO,IL,60652,245000,5,2.0,Ashburn,1471,4373,1955,1,167,,Active,,,http://www.redfin.com/IL/Chicago/3414-W-Columbus-Ave-60652/home/13966472,MRED,10130832,N,Y,41.7467446,-87.707813
MLS Listing,,Single Family Residential,713 N Menard Ave,CHICAGO,IL,60644,240000,3,2.5,Austin,,1690,1895,1,,,Active,,,http://www.redfin.com/IL/Chicago/713-N-Menard-Ave-60644/home/13267706,MRED,10130623,N,Y,41.8933193,-87.7698953
